Team,Player,Pos,Status,Reported,ImpactMultiplier,AutoAdjEM_delta,Source,Note
Louisville,Mikel Brown,G,Out indefinitely,Mar 12,,-0.07,covers_raw:injuries_raw.txt,is OUT for ACC tournament Brown is injured with back
Louisville,Dominick Harris,G,Out,Feb 6,,-0.07,covers_raw:injuries_raw.txt,is out indefinitely Harris is out with undisclosed
Louisville,Kymany Houinsou,G,Questionable,Mar 11,,-0.01,covers_raw:injuries_raw.txt,"is ""?"" Thursday vs Davidson Houinsou is questionable with undisclosed"
Louisville,Caleb Reese,G,Questionable,Mar 11,,-0.01,covers_raw:injuries_raw.txt,"is ""?"" Thursday vs Davidson Reese is questionable with undisclosed"
Louisville,Justin Moore,G,Questionable,Mar 11,,-0.01,covers_raw:injuries_raw.txt,"is ""?"" Thursday vs Davidson Moore is questionable with undisclosed"
Louisville,Chuck Love,G,Out,Feb 6,,-0.07,covers_raw:injuries_raw.txt,is out indefinitely Love is out with undisclosed
Marist,Jason Schofield,C,Out,Feb 22,,-0.07,covers_raw:injuries_raw.txt,is out indefinitely Schofield is out with knee
Marist,Elijah Lewis,G,Out for season,Feb 13,,-0.1,covers_raw:injuries_raw.txt,is out for season Lewis is out for season with knee
Marist,Tarik Watson,C,Out,Feb 5,,-0.07,covers_raw:injuries_raw.txt,is out indefinitely Watson is out with knee
Marquette,Sean Jones,G,Out for season,Feb 24,,-0.1,covers_raw:injuries_raw.txt,is out for season Jones is out for season with foot
Massachusetts,Dimitri Clerc,F/C,Questionable,Mar 3,,-0.01,covers_raw:injuries_raw.txt,"is ""?"" Clerc is questionable with leg"
Memphis,Ashton Hardaway,F,Doubtful,Mar 11,,-0.03,covers_raw:injuries_raw.txt,is not in the starting lineup Wednesday vs Tulane Hardaway is doubtful with calf
Memphis,Julius Thedford,G,Doubtful,Mar 11,,-0.03,covers_raw:injuries_raw.txt,is not in the starting lineup Wednesday vs Tulane Thedford is doubtful with undisclosed
Miami FL,Marcus Allen,G/F,Out for season,Jan 21,,-0.1,covers_raw:injuries_raw.txt,is out for season Allen is out for season with illness
Miami FL,Treyvon Maddox,F,Out,Jan 21,,-0.07,covers_raw:injuries_raw.txt,is out indefinitely Maddox is out with undisclosed
Michigan St.,Kaleb Glenn,F,Out for season,Jan 21,,-0.1,covers_raw:injuries_raw.txt,is out for season Glenn is out for season with knee
Michigan St.,Divine Ugochukwu,G,Out for season,Feb 6,,-0.1,covers_raw:injuries_raw.txt,is out for season Ugochukwu is out for season with foot
Michigan,Charlie May,G,Out for season,Jan 21,,-0.1,covers_raw:injuries_raw.txt,is out for season May is out for season with thumb
Michigan,L.J. Cason,G,Out for season,Feb 28,,-0.1,covers_raw:injuries_raw.txt,is out for season Cason is out for season with knee
Minnesota,Robert Vaihola,F,Out for season,Jan 21,,-0.1,covers_raw:injuries_raw.txt,is out for season Vaihola is out for season with knee
Minnesota,BJ Omot,F,Out for season,Jan 24,,-0.1,covers_raw:injuries_raw.txt,is out for season Omot is out for season with leg
Minnesota,Chance Stephens,G,Out,Jan 21,,-0.07,covers_raw:injuries_raw.txt,is out indefinitely Stephens is out with illness
Minnesota,Jaylen Crocker-Johnson,F,Out,Feb 20,,-0.07,covers_raw:injuries_raw.txt,is out indefinitely Crocker-Johnson is out with foot
Mississippi St.,Gai Chol,C,Out for season,Jan 21,,-0.1,covers_raw:injuries_raw.txt,is out for season Chol is out for season with knee
Mississippi St.,King Grace,G,Questionable,Mar 11,,-0.01,covers_raw:injuries_raw.txt,"is ""?"" Grace is questionable with undisclosed"
Missouri St.,Antwan Burnett,G/F,Questionable,Mar 11,,-0.01,covers_raw:injuries_raw.txt,"is ""?"" Burnett is questionable with undisclosed"
Missouri St.,Amar Kuljuhovic,G/F,Out,Jan 21,,-0.07,covers_raw:injuries_raw.txt,is out indefinitely Kuljuhovic is out with undisclosed
Missouri,Jevon Porter,F,Out,Jan 21,,-0.07,covers_raw:injuries_raw.txt,is out indefinitely Porter is out with lower body
Missouri,Annor Boateng,G,Out for season,Feb 4,,-0.1,covers_raw:injuries_raw.txt,is out for season Boateng is out for season with leg
Mount St. Mary's,Jaxon Hartman,G,Out,Mar 1,,-0.07,covers_raw:injuries_raw.txt,is out indefinitely Hartman is out with undisclosed
Mount St. Mary's,Abdou Khadre Kebe,G,Out,Mar 1,,-0.07,covers_raw:injuries_raw.txt,is out indefinitely Khadre Kebe is out with undisclosed
Mount St. Mary's,Justin May,G,Out,Mar 1,,-0.07,covers_raw:injuries_raw.txt,is out indefinitely May is out with undisclosed
Nebraska,Henry Burt,F,Out,Jan 21,,-0.07,covers_raw:injuries_raw.txt,is out indefinitely Burt is out with knee
Nebraska,Connor Essegian,G,Out for season,Jan 21,,-0.1,covers_raw:injuries_raw.txt,is out for season Essegian is out for season with ankle
Nebraska,Ugnius Jarusevicius,F,Out,Feb 13,,-0.07,covers_raw:injuries_raw.txt,is out indefinitely Jarusevicius is out with back
New Mexico,Chris Howell,G,Questionable,Mar 7,,-0.01,covers_raw:injuries_raw.txt,"is ""?"" Howell is questionable with undisclosed"
New Mexico,Milos Vicentic,F,Questionable,Mar 7,,-0.01,covers_raw:injuries_raw.txt,"is ""?"" Vicentic is questionable with undisclosed"
North Carolina,Alyn Breed,G,Questionable,Mar 11,,-0.01,covers_raw:injuries_raw.txt,"is ""?"" Thursday vs Virginia Breed is questionable with undisclosed"
North Carolina,Colt Langdon,F,Questionable,Mar 11,,-0.01,covers_raw:injuries_raw.txt,"is ""?"" Thursday vs Virginia Langdon is questionable with undisclosed"
North Carolina,James Brown,C,Out for season,Feb 20,,-0.1,covers_raw:injuries_raw.txt,is out for season Brown is out for season with foot
North Carolina,Ivan Matlekovic,C,Questionable,Mar 7,,-0.01,covers_raw:injuries_raw.txt,"is ""?"" Matlekovic is questionable with undisclosed"
North Carolina,Caleb Wilson,F,Out for season,Mar 6,,-0.1,covers_raw:injuries_raw.txt,is out for season Wilson is out for season with thumb
North Texas,Will McClendon,G,Out for season,Jan 21,,-0.1,covers_raw:injuries_raw.txt,is out for season McClendon is out for season with leg
Northern Iowa,Marino Dubravcic,F,Out,Jan 21,,-0.07,covers_raw:injuries_raw.txt,is out indefinitely Dubravcic is out with undisclosed
Northern Iowa,Cade Courbat,G,Out,Jan 21,,-0.07,covers_raw:injuries_raw.txt,is out indefinitely Courbat is out with undisclosed
Northwestern,Arrinten Page,F,Questionable,Mar 11,,-0.01,covers_raw:injuries_raw.txt,"is ""?"" Thursday vs Purdue Page is questionable with illness"
Notre Dame,Markus Burton,G,Out,Jan 21,,-0.07,covers_raw:injuries_raw.txt,is out indefinitely Burton is out with foot
Notre Dame,Tommy Ahneman,C,Out,Jan 21,,-0.07,covers_raw:injuries_raw.txt,is out indefinitely Ahneman is out with knee
Ohio,Elijah Elliott,G,Out,Mar 7,,-0.07,covers_raw:injuries_raw.txt,is out indefinitely Elliott is out with undisclosed
Ohio St.,Puff Johnson,G/F,Probable,Mar 12,,0.0,covers_raw:injuries_raw.txt,is upgraded to probable Thursday vs Iowa Johnson is probable with achilles
Ohio St.,Brandon Noel,F,Probable,Mar 12,,0.0,covers_raw:injuries_raw.txt,is upgraded to probable Thursday vs Iowa Noel is probable with foot
Ohio St.,Josh Ojianwuna,F,Out,Jan 21,,-0.07,covers_raw:injuries_raw.txt,is out indefinitely Ojianwuna is out with knee
Ohio St.,Myles Herro,G,Out for season,Jan 21,,0.0,covers_raw:injuries_raw.txt,is out for season Herro is out for season with redshirt
Oklahoma St.,Parsa Fallah,F,Out for season,Feb 25,,-0.1,covers_raw:injuries_raw.txt,is out for season Fallah is out for season with knee
Old Dominion,Caelum Swanton-Rodger,F,Questionable,Mar 4,,-0.01,covers_raw:injuries_raw.txt,"left last game, is ""?"" Wednesday vs Georgia Southern Swanton-Rodger is questionable with ankle"
Mississippi,Koren Johnson,G,Questionable,Mar 11,,-0.01,covers_raw:injuries_raw.txt,"is ""?"" Thursday vs Georgia Johnson is questionable with undisclosed"
Oregon,Jackson Shelstad,G,Out,Jan 21,,-0.07,covers_raw:injuries_raw.txt,is out indefinitely Shelstad is out with hand
Oregon,Devon Pryor,F,Out,Feb 2,,-0.07,covers_raw:injuries_raw.txt,is out indefinitely Pryor is out with groin
Oregon,JJ Frakes,G,Questionable,Mar 10,,-0.01,covers_raw:injuries_raw.txt,"is ""?"" Frakes is questionable with undisclosed"
Oregon,Ege Demir,C,Out for season,Feb 2,,-0.1,covers_raw:injuries_raw.txt,is out for season Demir is out for season with undisclosed
Penn St.,Reggie Grodin,G,Out for season,Jan 21,,-0.1,covers_raw:injuries_raw.txt,is out for season Grodin is out for season with undisclosed
Penn St.,Tibor Mirtic,F,Out for season,Feb 27,,-0.1,covers_raw:injuries_raw.txt,is out for season Mirtic is out for season with leg
Penn,Dylan Williams,G,Out,Jan 21,,-0.07,covers_raw:injuries_raw.txt,is out indefinitely Williams is out with undisclosed
Penn,Ryan Altman,G/F,Out,Jan 30,,-0.07,covers_raw:injuries_raw.txt,is out indefinitely Altman is out with undisclosed
Portland,Riley Parker,G,Out for season,Jan 29,,-0.1,covers_raw:injuries_raw.txt,is out for season Parker is out for season with undisclosed
Portland,Timo George,F,Out for season,Jan 21,,-0.1,covers_raw:injuries_raw.txt,is out for season George is out for season with shoulder
Princeton,Jack Stanton,G,Out for season,Feb 13,,-0.1,covers_raw:injuries_raw.txt,is out for season Stanton is out for season with foot
Providence,Rich Barron,F/G,Out,Jan 21,,-0.07,covers_raw:injuries_raw.txt,is out indefinitely Barron is out with concussion
Providence,Jason Edwards,G,Out,Mar 12,,-0.05,covers_raw:injuries_raw.txt,is downgraded to OUT Thursday vs St. Johns Edwards is out with undisclosed
Providence,Daquan Davis,G,Out for season,Jan 21,,-0.1,covers_raw:injuries_raw.txt,is out for season Davis is out for season with knee
Providence,Jaylen Harrell,G/F,Out,Jan 21,,-0.07,covers_raw:injuries_raw.txt,is out indefinitely Harrell is out with undisclosed
Rhode Island,Mouhamed Sow,F,Out,Jan 21,,-0.07,covers_raw:injuries_raw.txt,is out indefinitely Sow is out with leg
Rhode Island,Moek Icke,C,Out,Jan 21,,-0.07,covers_raw:injuries_raw.txt,is out indefinitely Icke is out with chest
