team,adjoe,adjde,adjt,barthag
New Orleans,108.6863658155206,111.1544555191878,69.75693216145183,0.4358000340935545
Tulane,107.49121157807616,110.05960433880368,66.8556053542295,0.4325267764305341
Drexel,102.60889945849289,105.0724156777382,64.19472875982304,0.4322102951470234
Weber St.,111.0634970087486,113.8146897684439,68.53554545181711,0.4301107236687292
Jacksonville St.,105.31780080574458,107.96558516652152,65.0959773425532,0.4290946838207595
Indiana St.,105.93456484879437,108.76864216608698,68.21302083779162,0.4246734926140826
Howard,103.4439478028701,106.230683620765,69.04793120520861,0.4241633103615799
Columbia,107.8691263564582,110.80828784324586,66.8196616066378,0.423321487926959
Marist,99.57219907831046,102.41783595789676,66.2205389404698,0.4196901258492918
Mercer,110.75707034664448,114.01715364102428,68.9434187585393,0.417362249282495
James Madison,109.05370581499147,112.36569101725118,65.96642931309545,0.414823829730472
Rice,109.00539280602028,112.58883339352718,65.62278180364505,0.408065178981195
Marshall,111.93010819268454,115.70736714144138,69.40262045688861,0.4057214910874206
San Diego,108.48367635902444,112.22311736006354,68.13603899438458,0.4037830458827725
San Jose St.,112.68548394355508,116.57972462614698,65.01394766302326,0.4035464558412202
La Salle,105.9721653240874,109.65134823012168,65.76002189539673,0.4031187556564968
Drake,109.5095724483919,113.31943074722138,67.07824973592349,0.4029267799454783
Cal Poly,109.43901159223356,113.34040676431025,74.09988984556122,0.4006336371007686
Tennessee St.,107.80850437789634,111.93587914179172,70.13661898234609,0.3936366732165107
Buffalo,111.26015224038171,115.74677827358768,66.45214247105622,0.3882587523485985
Quinnipiac,103.71977424660454,107.9283192690757,70.09619266164903,0.3876011615526361
Southern Miss,104.56029712516197,108.82770236248092,69.0918323993706,0.3869803449070378
South Dakota St.,107.47376768146523,111.88197079687264,67.01589136825002,0.3864466482015461
Western Carolina,109.37788617128604,114.035129481488,67.89625218178946,0.3823643066905736
Bethune Cookman,104.11000363234164,108.56781075384217,68.99062492392356,0.381742371483003
Tarleton St.,103.34035747063804,107.80908726749983,69.50992932296832,0.3806381094986925
Ohio,108.27186103705668,113.1522106523985,68.87019349907077,0.3758925888799521
Stony Brook,105.23684603011355,110.1901322370129,66.17068779632052,0.3707666196056599
Texas St.,104.41988704331855,109.60202879951753,66.14558938957094,0.3642393385069387
Georgia Southern,109.9713192209683,115.879310890187,70.09987097999921,0.3539341099295419
Coastal Carolina,101.82984260810568,107.49354749405452,67.08284642967834,0.3492204569047991
Denver,114.9432675710132,121.37671852085543,68.0467877500974,0.3483511893096792
Samford,107.7777219775368,113.89925971134728,67.33788961721534,0.3463099701232643
Lipscomb,105.05355677521716,111.0826025738232,69.45219670545022,0.3448524612386192
LIU,103.64388923203782,109.75323407848784,67.82892643432108,0.3410436466932572
Old Dominion,106.1767835661193,112.44064658213097,68.8931367698977,0.3409237802070888
Eastern Michigan,101.6157943945582,107.70488250863312,66.47679445866831,0.3386640630676085
Florida Gulf Coast,105.1653197565844,111.55482219879028,67.60918000380482,0.336640947543207
Nebraska Omaha,106.04716028217833,112.5924650625123,67.10994650156557,0.3343122543548645
Long Beach St.,104.25908564999035,110.77306698999274,68.42099540458452,0.3324880078463381
Saint Peter's,103.22757574525151,109.76492301077688,65.46384649990287,0.3304484696452338
Radford,106.3929723500315,113.2207418178819,70.6754045328713,0.3284291606382682
American,105.21660101305176,112.17014282236192,66.73859335035878,0.3238901329132434
Iona,103.93547613775964,110.82943547731604,69.13219354031652,0.3233203486063646
Central Michigan,106.48317259340256,113.54831258311236,67.05573434043069,0.3232717367544757
Boston University,111.67950421008037,119.15749490855032,63.119704105327315,0.3218357029911992
Colgate,107.38868920244542,114.70360860158604,66.84791457155256,0.3191216745705458
Nicholls St.,104.82562127612955,111.99934880192431,68.25124937390366,0.3183769731691268
UC Riverside,103.58698990618883,110.6955389911186,68.46783089953797,0.3179355020643742
Southern,106.06971052637223,113.4220369427908,69.79746824679779,0.3163232598762946
Princeton,105.02543233382208,112.3673183310908,63.85956413723555,0.3149534603850014
Southeast Missouri St.,101.068933149071,108.18021430511126,68.93328629776667,0.3138996576913013
Charleston Southern,104.8368393344072,112.21788233322496,71.57418370938943,0.3137970514477037
Lamar,102.82325260099626,110.0645180771506,65.3739541414299,0.3137522999704603
Pepperdine,105.62077104693174,113.23967362441854,68.38654352546601,0.3098132316728237
Abilene Christian,99.85696337556908,107.07065440962556,67.44170484962964,0.3095707945059278
