Team,AdjEM_torvik,Tempo_torvik,AdjEM_kenpom,Tempo_kenpom,AdjEM_evanmiya,Tempo_evanmiya,AdjEM_blend,Tempo_blend,sources_used,InjuryAdj,AdjEM_current,source_count
Southern Illinois,3.026646327977943,68.83599451950694,,,,,3.026646327977943,68.83599451950694,torvik,0.0,3.026646327977943,1
Bradley,2.9606033563611476,67.176079587515,,,,,2.9606033563611476,67.176079587515,torvik,0.0,2.9606033563611476,1
Northern Colorado,2.855652494437919,68.22799026129248,,,,,2.855652494437919,68.22799026129248,torvik,0.0,2.855652494437919,1
Penn St,2.819474571373405,67.27242044399732,,,,,2.819474571373405,67.27242044399732,torvik,0.0,2.819474571373405,1
Rutgers,2.717128386389959,65.9691466600918,,,,,2.717128386389959,65.9691466600918,torvik,0.0,2.717128386389959,1
Navy,2.1748710605341017,65.08740561564322,,,,,2.1748710605341017,65.08740561564322,torvik,0.0,2.1748710605341017,1
Boston College,1.9865999094016615,65.36869287097046,,,,,1.9865999094016618,65.36869287097046,torvik,0.0,1.9865999094016618,1
Toledo,1.751548056467925,68.02715356043491,,,,,1.7515480564679253,68.02715356043491,torvik,0.0,1.7515480564679253,1
Western Kentucky,1.727747934371635,69.78677035939141,,,,,1.727747934371635,69.78677035939141,torvik,0.0,1.727747934371635,1
Arkansas St,1.5906881446577188,72.20037473227573,,,,,1.5906881446577188,72.20037473227573,torvik,0.0,1.5906881446577188,1
William & Mary,1.5818230342169244,72.88395499279689,,,,,1.5818230342169244,72.88395499279689,torvik,0.0,1.5818230342169244,1
Rhode Island,1.5105823661502313,65.78835773368648,,,,,1.5105823661502316,65.78835773368648,torvik,0.0,1.5105823661502316,1
Loyola Marymount,1.4617557963701415,67.15904835242985,,,,,1.4617557963701415,67.15904835242985,torvik,0.0,1.4617557963701415,1
Austin Peay,1.2541826361171786,69.22553237790059,,,,,1.2541826361171786,69.22553237790059,torvik,0.0,1.2541826361171786,1
Eastern Washington,1.238657689381398,67.61438637974975,,,,,1.238657689381398,67.61438637974975,torvik,0.0,1.238657689381398,1
North Texas,1.157700420935484,64.61162100509863,,,,,1.157700420935484,64.61162100509863,torvik,0.0,1.157700420935484,1
Portland St.,1.1575354955332813,67.27289620753302,,,,,1.1575354955332813,67.27289620753302,torvik,0.0,1.1575354955332813,1
Central Arkansas,1.1263178921542192,67.7627140255745,,,,,1.1263178921542192,67.7627140255745,torvik,0.0,1.1263178921542192,1
Kennesaw St,1.0241511465555106,71.30948931113979,,,,,1.0241511465555106,71.30948931113979,torvik,0.0,1.0241511465555106,1
Middle Tennessee,0.9710914335267802,65.20763714280393,,,,,0.9710914335267802,65.20763714280393,torvik,0.0,0.9710914335267802,1
Cal St Northridge,0.9624467919782234,73.3922194931052,,,,,0.9624467919782234,73.3922194931052,torvik,0.0,0.9624467919782234,1
Valparaiso,0.923665005990074,65.0435427836726,,,,,0.923665005990074,65.0435427836726,torvik,0.0,0.923665005990074,1
Robert Morris,0.9097122382587202,64.50029092938205,,,,,0.9097122382587203,64.50029092938205,torvik,0.0,0.9097122382587203,1
Troy,0.8055823810536396,64.9311073870833,,,,,0.8055823810536396,64.9311073870833,torvik,0.0,0.8055823810536396,1
Bowling Green,0.7314364039897612,67.89478660532045,,,,,0.7314364039897612,67.89478660532045,torvik,0.0,0.7314364039897612,1
Idaho,0.469288777766522,67.24289223379229,,,,,0.469288777766522,67.24289223379229,torvik,0.0,0.469288777766522,1
Harvard,0.2647002496230897,62.917903300762816,,,,,0.2647002496230897,62.917903300762816,torvik,0.0,0.2647002496230897,1
UC Davis,0.2560732992856174,68.35968573397771,,,,,0.2560732992856174,68.35968573397771,torvik,0.0,0.2560732992856174,1
Kent St,0.2387762668319482,70.72153800214738,,,,,0.2387762668319482,70.72153800214738,torvik,0.0,0.2387762668319482,1
Temple,0.21606353341158524,64.74978616974765,,,,,0.21606353341158527,64.74978616974765,torvik,0.0,0.21606353341158527,1
Cornell,0.15183515906431921,71.50869025648818,,,,,0.15183515906431921,71.50869025648818,torvik,0.0,0.15183515906431921,1
Merrimack,0.014738765553460098,63.339088902261906,,,,,0.014738765553460098,63.339088902261906,torvik,0.0,0.014738765553460098,1
Winthrop,-0.1669284345452695,69.44427979821832,,,,,-0.1669284345452695,69.44427979821832,torvik,0.0,-0.1669284345452695,1
Oregon St,-0.2549936773126973,65.04057624469723,,,,,-0.2549936773126973,65.04057624469723,torvik,0.0,-0.2549936773126973,1
Charleston,-0.2947080706065037,67.69406367909984,,,,,-0.2947080706065037,67.69406367909984,torvik,0.0,-0.2947080706065037,1
Georgia Tech,-0.36720742648034843,70.78096056117266,,,,,-0.3672074264803484,70.78096056117266,torvik,0.0,-0.3672074264803484,1
East Tennessee St,-0.37493725849131465,65.97521450260477,,,,,-0.37493725849131465,65.97521450260477,torvik,0.0,-0.37493725849131465,1
Green Bay,-0.4348787142229895,62.78459546943791,,,,,-0.43487871422298957,62.78459546943791,torvik,0.0,-0.43487871422298957,1
Penn,-0.4353808764625313,69.04756333397798,,,,,-0.4353808764625314,69.04756333397798,torvik,0.0,-0.4353808764625314,1
Richmond,-0.46733735842222757,67.57587181799505,,,,,-0.4673373584222276,67.57587181799505,torvik,0.0,-0.4673373584222276,1
St Bonaventure,-0.5370424869409192,66.87061626172886,,,,,-0.5370424869409192,66.87061626172886,torvik,0.0,-0.5370424869409192,1
Montana,-0.5835382603937802,69.0574703838618,,,,,-0.5835382603937802,69.0574703838618,torvik,0.0,-0.5835382603937802,1
Appalachian St,-0.5986297619211172,62.67539532470734,,,,,-0.5986297619211172,62.67539532470734,torvik,0.0,-0.5986297619211172,1
Charlotte,-0.6455376649418127,63.327094660286335,,,,,-0.6455376649418127,63.327094660286335,torvik,0.0,-0.6455376649418127,1
Massachusetts,-0.7168151811736863,70.19716403740682,,,,,-0.7168151811736863,70.19716403740682,torvik,0.0,-0.7168151811736863,1
Oakland,-1.0420398701742357,69.81366910750602,,,,,-1.0420398701742357,69.81366910750602,torvik,0.0,-1.0420398701742357,1
Fordham,-1.0800556082980393,63.98437846427953,,,,,-1.0800556082980393,63.98437846427953,torvik,0.0,-1.0800556082980393,1
Monmouth,-1.3157424658392785,66.78151617813079,,,,,-1.3157424658392785,66.78151617813079,torvik,0.0,-1.3157424658392785,1
UT Arlington,-1.4207908819075215,65.03767158188288,,,,,-1.4207908819075215,65.03767158188288,torvik,0.0,-1.4207908819075215,1
Northern Kentucky,-1.4883556193668994,69.53936755478338,,,,,-1.4883556193668994,69.53936755478338,torvik,0.0,-1.4883556193668994,1
Utah Tech,-1.521572736886597,66.02211457790065,,,,,-1.5215727368865972,66.02211457790065,torvik,0.0,-1.5215727368865972,1
South Alabama,-1.7541404656908668,64.49314558822051,,,,,-1.7541404656908668,64.49314558822051,torvik,0.0,-1.7541404656908668,1
FIU,-1.8327596535858248,71.76131478818917,,,,,-1.8327596535858248,71.76131478818917,torvik,0.0,-1.8327596535858248,1
New Orleans,-1.9157011860299207,69.7746343187958,,,,,-1.9157011860299207,69.7746343187958,torvik,0.0,-1.9157011860299207,1
Texas A&M Corpus Chris,-1.9405676750363767,66.26096478038934,,,,,-1.9405676750363767,66.26096478038934,torvik,0.0,-1.9405676750363767,1
New Mexico St,-1.9453224021983715,66.46750028244227,,,,,-1.9453224021983717,66.46750028244227,torvik,0.0,-1.9453224021983717,1
Campbell,-2.139427090875799,69.49495098729851,,,,,-2.139427090875799,69.49495098729851,torvik,0.0,-2.139427090875799,1
Tulane,-2.1520762699799434,66.76167657184783,,,,,-2.1520762699799434,66.76167657184783,torvik,0.0,-2.1520762699799434,1
Jacksonville St,-2.2652375599151497,64.69016901308898,,,,,-2.2652375599151497,64.69016901308898,torvik,0.0,-2.2652375599151497,1
Howard,-2.2941986919595934,68.98641506871266,,,,,-2.2941986919595934,68.98641506871266,torvik,0.0,-2.2941986919595934,1
